female;sentiment
She's an orphaned cat-loving college professor with an evil twin sister. ;-1.0
She's a mistrustful tempestuous magician's assistant with an evil twin sister. ;-1.0
She's a scantily clad cigar-chomping stripper with an evil twin sister. ;-1.0
She's a strong-willed kleptomaniac politician with an evil twin sister. ;-1.0
 She's a warm-hearted mutant doctor with an evil twin sister;-1.0
a sharp-shooting gypsy advertising executive with an evil twin sister.;-1.0
She's a virginal streetsmart femme fatale with an evil twin sister. ;-1.0
She's a provocative belly-dancing socialite with an evil twin sister. ;-1.0
She's a violent goth archaeologist with a flame-thrower.;-0.8
She's a violent insomniac mermaid from beyond the grave ;-0.8
